alpha_degree,CL,CD,Cm,Cm_de
-10.0,-0.80,0.080,-0.050,-1.2
-5.0,-0.35,0.045,-0.030,-1.2
0.0,0.25,0.020,0.005,-1.2
5.0,0.80,0.025,0.010,-1.2
10.0,1.25,0.040,0.015,-1.15
15.0,1.50,0.080,0.018,-1.0
18.0,1.45,0.130,0.015,-0.8
20.0,1.30,0.190,0.008,-0.6
25.0,1.00,0.380,-0.005,-0.4
30.0,0.80,0.650,-0.015,-0.3
35.0,0.65,0.950,-0.022,-0.2
40.0,0.50,1.300,-0.028,-0.15
45.0,0.42,1.600,-0.032,-0.1
50.0,0.35,1.800,-0.035,-0.08
55.0,0.30,1.950,-0.037,-0.06
60.0,0.26,2.050,-0.038,-0.05
65.0,0.23,2.150,-0.039,-0.04
70.0,0.22,2.250,-0.040,-0.03
75.0,0.20,2.310,-0.041,-0.02
80.0,0.18,2.350,-0.042,-0.01
85.0,0.10,2.380,-0.042,-0.005
90.0,0.00,2.400,-0.040,0.0
