alpha_degree,CL,CD,Cm,Cm_de
-10.0,-1.00,0.050,-0.055,-1.2
-5.0,-0.50,0.040,-0.045,-1.2
0.0,0.00,0.020,-0.008,-1.2
5.0,0.55,0.028,0.018,-1.2
10.0,1.10,0.052,0.035,-1.15
15.0,1.35,0.090,0.038,-1.0
18.0,1.28,0.150,0.025,-0.8
20.0,1.15,0.220,0.008,-0.6
25.0,0.85,0.450,-0.012,-0.4
30.0,0.70,0.750,-0.020,-0.3
35.0,0.55,1.100,-0.025,-0.2
40.0,0.45,1.450,-0.028,-0.15
45.0,0.38,1.750,-0.030,-0.1
50.0,0.32,1.950,-0.032,-0.08
55.0,0.28,2.100,-0.034,-0.06
60.0,0.25,2.150,-0.035,-0.05
65.0,0.23,2.250,-0.037,-0.04
70.0,0.22,2.300,-0.038,-0.03
75.0,0.21,2.320,-0.039,-0.02
80.0,0.20,2.350,-0.040,-0.01
85.0,0.19,2.380,-0.040,-0.005
90.0,0.00,2.400,-0.040,0.0
